,horizon,mse,rmse,mae,mape,mdape,smape,coverage
1455,69 days 15:00:00,20308144.33907934,4506.455851229361,1241.411112819473,0.3740960332784869,0.1352400525554529,0.24940121661771128,0.6450812395925164
1456,69 days 16:00:00,20345061.726794876,4510.550047033607,1242.1046176511963,0.37446648511198777,0.13526970124330184,0.24943564262571744,0.6452039866784209
1457,69 days 17:00:00,20381982.932961427,4514.640952829076,1242.7763910482226,0.37483680632321364,0.1353035442164699,0.24946822392863227,0.6453193873053188
1458,69 days 18:00:00,20418861.826538492,4518.7234731214185,1243.4452532511996,0.37520551975755057,0.13533580957478092,0.2495032961002866,0.64547825448134
1459,69 days 19:00:00,20455525.51273195,4522.778516877866,1244.1740669478643,0.3755612197030337,0.13533180970012332,0.2495505763567972,0.6453359168380841
1460,69 days 20:00:00,20491785.63379832,4526.785353183683,1244.9667721853957,0.37589638499712613,0.13534231057899082,0.24960730759895172,0.645391627485552
1461,69 days 21:00:00,20527711.293669075,4530.75173604437,1245.8246441912904,0.3762382991592041,0.1353588065358117,0.2496782914415858,0.6453769345675385
1462,69 days 22:00:00,20563566.38246102,4534.706868416196,1246.7396989996403,0.3765956178312213,0.13534231057899082,0.2497616738266203,0.6453646904691938
1463,69 days 23:00:00,20599413.072819643,4538.657628949296,1247.6394163729203,0.37695951896892455,0.1353864120904227,0.24983034567900916,0.6454424404936819
1464,70 days 00:00:00,20635126.347361553,4542.590268487964,1248.3997115961934,0.3773245786767862,0.1353501505411332,0.24985187942362141,0.6455930429033205
1465,70 days 01:00:00,20671176.966538362,4546.5566054475075,1249.1751581197782,0.37771604465212794,0.1353501505411332,0.24985776991995523,0.6457509917719659
1466,70 days 02:00:00,20706819.673851226,4550.474664675238,1249.93756650888,0.37812312850325974,0.1353035442164699,0.24985691019142617,0.6460218924478403
1467,70 days 03:00:00,20742417.522491924,4554.384428492167,1250.7196843113882,0.37854603779285606,0.1352400525554529,0.2498514667452034,0.6462502448819669
1468,70 days 04:00:00,20777788.66764147,4558.265971577511,1251.5379463943916,0.3789718578837126,0.13515637325328111,0.24985456978368434,0.6465587961602508
1469,70 days 05:00:00,20813036.211927406,4562.130665810374,1252.3368513761159,0.37938661123915995,0.13507897595851937,0.24985434766735748,0.6467871485943776
1470,70 days 06:00:00,20847908.651324436,4565.951012803843,1253.140234310373,0.379778657567029,0.13506782594272734,0.2498634795162323,0.6467690885493192
1471,70 days 07:00:00,20882010.666996133,4569.683869481141,1253.9737862611705,0.38011505386735917,0.13515637325328111,0.24988997965992893,0.646889386815555
1472,70 days 08:00:00,20915357.00062483,4573.331061778147,1254.8214080834834,0.38038876904832336,0.1352400525554529,0.24992927277648608,0.6468116367910667
1473,70 days 09:00:00,20949492.5046873,4577.0615578870365,1255.7458683528687,0.38070291186532057,0.1352497278050614,0.2499875601235589,0.6468345944754629
1474,70 days 10:00:00,20985053.509197947,4580.944608833199,1256.5666769347024,0.38106158976554144,0.1352497278050614,0.2500218327651278,0.6470311122538936
1475,70 days 11:00:00,21021854.851527084,4584.959634667145,1257.2714516893163,0.381423150030386,0.1352154057858153,0.2500230908652839,0.6469435669507296
1476,70 days 12:00:00,21059531.83929627,4589.0665542456745,1257.9448503129022,0.38177802549152967,0.13508561905269392,0.25001617528700154,0.6469656063277501
1477,70 days 13:00:00,21098114.524804275,4593.268392419964,1258.6772896229197,0.3821936027645765,0.13506782594272734,0.2500416515943299,0.6472937481633853
1478,70 days 14:00:00,21137446.845363386,4597.547916592429,1259.3391993767052,0.38260697184360337,0.1350493251516706,0.25005512323015877,0.6474336369869723
1479,70 days 15:00:00,21177611.553586043,4601.913901148743,1260.0503489370192,0.38304900092366273,0.13498818109694533,0.25008019797228237,0.6476414805563718
1480,70 days 16:00:00,21218395.935724065,4606.343011079837,1260.7946778460337,0.3835124900424451,0.13499827871565034,0.25011352426789335,0.6478673841708297
1481,70 days 17:00:00,21259688.234853525,4610.822945511302,1261.5316987340173,0.3839804300844117,0.1350493251516706,0.25014349038119293,0.6478493241257713
1482,70 days 18:00:00,21300932.45070878,4615.293322282862,1262.2710085411245,0.3844411375823957,0.13506945602876355,0.2501779083912875,0.6481260407483593
1483,70 days 19:00:00,21341706.84337087,4619.708523637705,1263.0129787876012,0.38486704229010504,0.13506945602876355,0.2502136568113225,0.6481695072974827
1484,70 days 20:00:00,21381350.15686187,4623.997205542178,1263.8185396355666,0.38526715822540986,0.13503791891452582,0.25026406062120216,0.648074615535312
1485,70 days 21:00:00,21420346.4252874,4628.212011704672,1264.5993274548543,0.3856530193038124,0.13503791891452582,0.250311532933685,0.64813032618278
1486,70 days 22:00:00,21458786.811793953,4632.362983596379,1265.4433208426046,0.38605388103442767,0.13499827871565034,0.2503748131221366,0.6481483862278381
1487,70 days 23:00:00,21496821.84036083,4636.466525314383,1266.2950935991664,0.386462180750091,0.13499827871565034,0.25043567858120613,0.6481156332647663
1488,71 days 00:00:00,21534588.77428536,4640.537552297725,1267.0243079487798,0.38686362643959227,0.13506226814656064,0.2504497494644331,0.6483415368792241
1489,71 days 01:00:00,21571511.38228273,4644.51411692146,1267.6603572675842,0.3873043539920548,0.13507372264966716,0.25044095836431085,0.6484192869037125
1490,71 days 02:00:00,21608896.062296405,4648.536980846383,1268.4134125255202,0.38776050828582415,0.13506945602876355,0.2504285329714978,0.6484569375061221
1491,71 days 03:00:00,21645826.073628455,4652.507503876641,1269.17282238781,0.38821607733384184,0.1350560929464899,0.2504194825005726,0.6482481756293467
1492,71 days 04:00:00,21682396.80437984,4656.436062524625,1269.9345331552595,0.3886629947739925,0.13498671059083434,0.25041806311598325,0.6483283744735038
1493,71 days 05:00:00,21718753.752494317,4660.338373175741,1270.7315522394958,0.38911163111076236,0.13487190399591303,0.25043022548583865,0.6481499167401313
1494,71 days 06:00:00,21754551.046743017,4664.1774244493545,1271.5274824607643,0.3895229187290931,0.13486576354672025,0.25044677975451884,0.6480189048878441
1495,71 days 07:00:00,21789597.67663077,4667.932912610331,1272.3414828530847,0.3898654896915744,0.1348433254421939,0.25047033433628857,0.647995947203448
1496,71 days 08:00:00,21824072.055646352,4671.624134671619,1273.1382042544276,0.3901329996130056,0.13483576459990976,0.25048532615594155,0.6478707512978744
1497,71 days 09:00:00,21858947.76336259,4675.355362254573,1273.9190445128688,0.39042287606512943,0.13477235806531007,0.2505003849137893,0.6477308624742875
1498,71 days 10:00:00,21894603.118365906,4679.166925678748,1274.6016421168526,0.3907506311275056,0.1346823792330502,0.2504897927949351,0.6476335218924479
1499,71 days 11:00:00,21931239.570322197,4683.080137080957,1275.2683197485999,0.3911224329233887,0.13471261965070166,0.2504780539780341,0.6476613772161818
1500,71 days 12:00:00,21968793.84381331,4687.0879919000145,1275.9929998813175,0.391540019800469,0.13475455938629213,0.25049737758264184,0.6478569766872369
1501,71 days 13:00:00,22007468.98314966,4691.211888536869,1276.7406713980404,0.39198681838472893,0.1347895960706575,0.2505248779734392,0.6479616637280831
1502,71 days 14:00:00,22047626.130983453,4695.489977732192,1277.4292497284443,0.39246531924153205,0.13472747832469395,0.25053257276001406,0.6479230948182976
1503,71 days 15:00:00,22089308.083787207,4699.9263913158475,1278.0718627579145,0.39298274956719836,0.13458703755393533,0.25052950948867564,0.6479475830149868
1504,71 days 16:00:00,22132172.663508765,4704.4843143014905,1278.7470658145996,0.3935410670937999,0.13460307962105486,0.2505337636881341,0.6482160348711921
1505,71 days 17:00:00,22175773.46449184,4709.115996075255,1279.4401237553218,0.39412085086113685,0.13457166590015096,0.2505427276731949,0.648439489665981
1506,71 days 18:00:00,22219381.375199597,4713.743880950639,1280.1787394313271,0.39469640517366605,0.13453890694742335,0.2505637261637247,0.6486409050837496
1507,71 days 19:00:00,22262117.207238816,4718.2748126024635,1280.99075768607,0.39524089831553794,0.13448894193362682,0.2506030728715968,0.648378269174258
1508,71 days 20:00:00,22303220.432097137,4722.628551145764,1281.8079035204385,0.3957230053831386,0.13448894193362682,0.2506447488017204,0.6481728744245274
1509,71 days 21:00:00,22343343.081164867,4726.87455737561,1282.5548861451418,0.3961787167236791,0.13458703755393533,0.25067120876361826,0.6480877779410325
1510,71 days 22:00:00,22382270.302441,4730.990414537003,1283.3113808192293,0.3966283681316962,0.13472747832469395,0.2506993038744706,0.6480354344206092
1511,71 days 23:00:00,22420213.28944227,4734.998763404514,1284.036983626658,0.3970786076020475,0.13474578961231787,0.2507144520786259,0.6479273802527181
1512,72 days 00:00:00,22457396.35201002,4738.923543591943,1284.7140019604315,0.39754651962596027,0.13477235806531007,0.25069909028233267,0.6481033891664217
1513,72 days 01:00:00,22497237.139623865,4743.125250256825,1285.6994497621465,0.3981642769693455,0.13486576354672025,0.2507250738273967,0.6481082868057596
1514,72 days 02:00:00,22533126.4228064,4746.90703751468,1286.3267553902165,0.398652887514643,0.1349443462268015,0.2506943620708986,0.6479904373591928
1515,72 days 03:00:00,22568525.456543565,4750.634216243508,1287.0040194293947,0.39914596428465754,0.1348930908715431,0.2506819846441891,0.6476736213145264
1516,72 days 04:00:00,22603519.790784482,4754.315911967197,1287.6918097120326,0.3996382809035618,0.13480180470263736,0.2506774623549971,0.6474927147614851
1517,72 days 05:00:00,22638275.057938598,4757.969636088339,1288.381820963961,0.40012368835247114,0.13473988594445446,0.25068008367033506,0.6472766064257028
1518,72 days 06:00:00,22672846.349267256,4761.60123795213,1289.0895045032546,0.40059406396878394,0.1347006831935754,0.2506892629169456,0.6470678445489274
1519,72 days 07:00:00,22707281.64055532,4765.215802097038,1289.8323625641553,0.40102961033755014,0.13466290998067504,0.250704590550148,0.6469671368400431
1520,72 days 08:00:00,22742054.30642,4768.8629993343275,1290.6564860397168,0.40145349331901486,0.13460307962105486,0.2507382734370759,0.6467412332255853
1521,72 days 09:00:00,22777109.804231007,4772.537040634782,1291.4517147343968,0.40188342747914513,0.13461054297815805,0.2507628464058973,0.6465612449799197
1522,72 days 10:00:00,22812571.224931635,4776.250749796501,1292.1656534007489,0.40231843509624576,0.13465349396665233,0.25076004263041374,0.6463460549515133
1523,72 days 11:00:00,22848843.5038802,4780.046391394146,1292.8601273999025,0.4027675224559331,0.13474578961231787,0.250740813972357,0.6462609584680183
1524,72 days 12:00:00,22886102.701240655,4783.942171602898,1293.487199759413,0.403213947359659,0.13472747832469395,0.2506943434139055,0.6461152536977176
1525,72 days 13:00:00,22924279.64065044,4787.930621954587,1294.0348425870206,0.4036538757490049,0.13468052493563148,0.25063283870451303,0.6459309800176315
1526,72 days 14:00:00,22963327.819835603,4792.006658993245,1294.5283586768264,0.4041013043647132,0.13468052493563148,0.25057598102421413,0.6458826158291704
1527,72 days 15:00:00,23003000.093572225,4796.144294490338,1294.9963423664776,0.4045573861420025,0.1347006831935754,0.25052835382038363,0.6457917033989617
1528,72 days 16:00:00,23042823.736814592,4800.294130239791,1295.5095380240523,0.4050166535489957,0.13474578961231787,0.25049612177740793,0.6458137427759819
1529,72 days 17:00:00,23082405.258627817,4804.415183831204,1296.0581616024892,0.40546700221236925,0.13472747832469395,0.2504738346304703,0.6461926976197473
1530,72 days 18:00:00,23121620.708123,4808.494640542193,1296.6457545736048,0.4058978684791908,0.13474578961231787,0.2504572073180236,0.6465119624840827
1531,72 days 19:00:00,23160107.130918738,4812.4948967161245,1297.2234343982109,0.4063071392097909,0.13468052493563148,0.25044253505735314,0.6468189832500735
1532,72 days 20:00:00,23197535.81041842,4816.382024966294,1297.7173746082892,0.406662617759269,0.1346317380987785,0.2504071891137855,0.6470081545694976
1533,72 days 21:00:00,23234208.433504958,4820.187593186074,1298.1605511506887,0.4069955409420565,0.134581091438949,0.25035340683657104,0.6470311122538936
1534,72 days 22:00:00,23270285.233766228,4823.9284026368205,1298.6420008531738,0.4073378960104459,0.13457166590015096,0.2502959280480533,0.6471367176021157
1535,72 days 23:00:00,23305855.161055785,4827.6138164786735,1299.1676163410611,0.4076955633270403,0.13461960251655064,0.25023648255272435,0.6471670217455185
1536,73 days 00:00:00,23340991.772505727,4831.251574127115,1299.7576947834143,0.4080904847093133,0.13473988594445446,0.25019210460377395,0.6470941693603682
1537,73 days 01:00:00,23375690.02645005,4834.841261763415,1300.3602725675587,0.40852160004292615,0.13472747832469395,0.2501600755578201,0.64712692232344
